fr_name	fr_abbr	en_name	en_abbr
Administration canadienne de la sûreté du transport aérien 	ACSTA	Canadian Air Transport Security Authority 	CATSA
Administration de pilotage de l'Atlantique Canada 	APA	Atlantic Pilotage Authority Canada 	APA
Administration de pilotage des Grands Lacs Canada 	APGL	Great Lakes Pilotage Authority Canada 	GLPA
Administration de pilotage des Laurentides Canada 	APL	Laurentian Pilotage Authority Canada 	LPA
Administration de pilotage du Pacifique Canada 	APP	Pacific Pilotage Authority Canada 	PPA
Administration du pipe-line du Nord Canada 	APN	Northern Pipeline Agency Canada 	NPA
Affaires autochtones et du Nord Canada 	AANC	Indigenous and Northern Affairs Canada 	INAC
Affaires intergouvernementales 	AIG	Intergovernmental Affairs 	IGA
Affaires mondiales Canada 	AMC	Global Affairs Canada 	GAC
Agence canadienne d'évaluation environnementale 	ACEE	Canadian Environmental Assessment Agency 	CEAA
Agence canadienne d'inspection des aliments 	ACIA	Canadian Food Inspection Agency 	CFIA
Agence canadienne de développement économique du Nord 	CanNor	Canadian Northern Economic Development Agency 	CanNor
Agence canadienne du pari mutuel 	ACPM	Canadian Pari-Mutuel Agency 	CPMA
Agence de la consommation en matière financière du Canada 	ACFC	Financial Consumer Agency of Canada 	FCAC
Agence de la santé publique du Canada 	ASPC	Public Health Agency of Canada 	PHAC
Agence de promotion économique du Canada atlantique 	APECA	Atlantic Canada Opportunities Agency 	ACOA
Agence des services frontaliers du Canada 	ASFC	Canada Border Services Agency 	CBSA
Agence du revenu du Canada 	ARC	Canada Revenue Agency 	CRA
Agence fédérale de développement économique pour le Sud de l'Ontario 	FedDev Ontario	Federal Economic Development Agency for Southern Ontario 	FedDev Ontario
Agence spatiale canadienne 	ASC	Canadian Space Agency 	CSA
Agriculture et Agroalimentaire Canada 	AAC	Agriculture and Agri-Food Canada 	AAFC
Anciens Combattants Canada 	ACC	Veterans Affairs Canada 	VAC
Armée canadienne 	AC	Canadian Army 	CA
Autorité du pont Windsor-Détroit 	APWD	Windsor-Detroit Bridge Authority 	WDBA
Aviation royale canadienne 	ARC	Royal Canadian Air Force 	RCAF
Banque de développement du Canada 	BDC	Business Development Bank of Canada 	BDC
Banque de L’infrastructure du Canada 	BIC	Canada Infrastructure Bank 	CIB
Banque du Canada 		Bank of Canada 	
Bibliothèque et Archives Canada 	BAC	Library and Archives Canada 	LAC
Bureau de l'ombudsman de l'approvisionnement 	BOA	Procurement Ombudsman (Office of the) 	OPO
Bureau de l'ombudsman de la Défense nationale et des Forces canadiennes 		Ombudsman for the Department of National Defence and the Canadian Forces (Office of the) 	
Bureau de l'ombudsman des contribuables 	BOC	Taxpayers' Ombudsman (Office of the) 	OTO
Bureau de l'ombudsman fédéral des victimes d'actes criminels 	BOFVAC	Federal Ombudsman for Victims Of Crime (Office of the) 	OFOVC
Bureau de la concurrence Canada 	BUCO	Competition Bureau Canada 	COBU
Bureau de la sécurité des transports du Canada 	BST	Transportation Safety Board of Canada 	TSB
Bureau de la traduction 		Translation Bureau 	
Bureau du commissaire du Centre de la sécurité des télécommunications 	BCCST	Communications Security Establishment Commissioner (Office of the) 	OCSEC
Bureau du Conseil privé 	BCP	Privy Council Office 	PCO
Bureau du surintendant des faillites Canada 	BSF	Superintendent of Bankruptcy Canada (Office of the) 	OSB
Bureau du surintendant des institutions financières Canada 	BSIF	Superintendent of Financial Institutions Canada (Office of the) 	OSFI
Bureau du vérificateur général du Canada 	BVG	Auditor General of Canada (Office of the) 	OAG
Centre canadien d'hygiène et de sécurité au travail 	CCHST	Canadian Centre for Occupational Health and Safety 	CCOHS
Centre d'analyse des opérations et déclarations financières du Canada 	CANAFE	Financial Transactions and Reports Analysis Centre of Canada 	FINTRAC
Centre de la sécurité des télécommunications Canada 	CSTC	Communications Security Establishment Canada 	CSEC
Centre de recherches pour le développement international 	CRDI	International Development Research Centre 	IDRC
Centre de recherches sur les communications Canada 	CRC	Communications Research Centre Canada 	CRC
Centre des armes à feu Canada 	CAFC	Canada Firearms Centre 	CAFC
Centre national des arts 	CNA	National Arts Centre 	NAC
Chaires de recherche du Canada 		Canada Research Chairs 	
Collège canadien de police 	CCP	Canadian Police College 	CPC
Collège militaire royal du Canada 	CMRC	Royal Military College of Canada 	RMCC
Comité de surveillance des activités de renseignement de sécurité 	CSARS	Security Intelligence Review Committee 	SIRC
Comité externe d'examen de la Gendarmerie royale du Canada 	CEE	Royal Canadian Mounted Police External Review Committee 	ERC
Comité externe d'examen des griefs militaires 	CEEGM	Military Grievances External Review Committee 	MGERC
Commandement des Forces d’opérations spéciales du Canada 	COMFOSCAN	Canadian Special Operations Forces Command 	CANSOFCOM
Commissariat à l'information au Canada 	CI	Information Commissioner (Office of the) 	OIC
Commissariat à l'intégrité du secteur public du Canada 	ISPC	Public Sector Integrity Commissioner of Canada (Office of the) 	PSIC
Commissariat à la magistrature fédérale Canada 	CMF	Commissioner for Federal Judicial Affairs Canada (Office of the) 	FJA
Commissariat à la protection de la vie privée du Canada 	CPVP	Privacy Commissioner of Canada (Office of the) 	OPC
Commissariat au lobbying du Canada 	CAL	Commissioner of Lobbying of Canada (Office of the) 	OCL
Commissariat aux conflits d'intérêts et à l'éthique 	CCIE	Conflict of Interest and Ethics Commissioner (Office of the) 	CIEC
Commissariat aux langues officielles 	CLO	Commissioner of Official Languages (Office of the) 	OCOL
Commission canadienne d'examen des exportations de biens culturels 		Canadian Cultural Property Export Review Board 	
Commission canadienne de sûreté nucléaire 	CCSN	Canadian Nuclear Safety Commission 	CNSC
Commission canadienne des droits de la personne 	CCDP	Canadian Human Rights Commission 	CHRC
Commission canadienne des grains 	CCG	Canadian Grain Commission 	CGC
Commission canadienne du lait 	CCL	Canadian Dairy Commission 	CDC
Commission civile d'examen et de traitement des plaintes relatives à la GRC 	CCETP	Civilian Review and Complaints Commission for the RCMP 	CRCC
Commission d'examen de la rémunération des juges 		Judicial Compensation and Benefits Commission 	
Commission d'examen des plaintes concernant la police militaire du Canada 	CPPM	Military Police Complaints Commission of Canada 	MPCC
Commission de l'assurance-emploi du Canada 	CAEC	Canada Employment Insurance Commission 	CEIC
Commission de l'immigration et du statut de réfugié du Canada 	CISR	Immigration and Refugee Board of Canada 	IRB
Commission de la capitale nationale 	CCN	National Capital Commission 	NCC
Commission de la fonction publique du Canada 	CFP	Public Service Commission of Canada 	PSC
Commission de révision agricole du Canada 	CRAC	Canada Agricultural Review Tribunal 	CART
Commission des champs de bataille nationaux 	CCBN	National Battlefields Commission 	NBC
Commission des libérations conditionnelles du Canada 	CLCC	Parole Board of Canada 	PBC
Commission des lieux et monuments historiques du Canada 	CLMHC	Historic Sites and Monuments Board of Canada 	HSMBC
Commission des relations de travail et de l'emploi dans la fonction publique 	CRTEFP	Public Service Labour Relations and Employment Board 	PSLREB
Commission du droit d'auteur Canada 	CDA	Copyright Board Canada 	CB
Commission indépendante d’examen des acquisitions de la Défense 	CIEAD	Independent Review Panel for Defence Acquisition 	IRPDA
Conseil canadien de la magistrature 	CCM	Canadian Judicial Council 	CJC
Conseil canadien des normes 	SCC-CCN	Standards Council of Canada 	SCC-CCN
Conseil canadien des relations industrielles 	CCRI	Canada Industrial Relations Board 	CIRB
Conseil d'examen du prix des médicaments brevetés Canada 	CEPMB	Patented Medicine Prices Review Board Canada 	PMPRB
Conseil de la radiodiffusion et des télécommunications canadiennes 	CRTC	Canadian Radio-Television and Telecommunications Commission 	CRTC
Conseil de recherches en sciences et en génie Canada 	CRSNG	Natural Sciences and Engineering Research Canada 	NSERC
Conseil de recherches en sciences humaines du Canada 	CRSH	Social Sciences and Humanities Research Council of Canada 	SSHRC
Conseil des arts du Canada 		Canada Council for the Arts 	
Conseil des produits agricoles du Canada 	CPAC	Farm Products Council of Canada 	FPCC
Conseil national de recherches Canada 	CNRC	National Research Council Canada 	NRC
Conseil national des aînés 		National Seniors Council 	
Construction de Défense Canada 	CDC	Defence Construction Canada 	DCC
CORCAN 		CORCAN 	
Corporation commerciale canadienne 	CCC	Canadian Commercial Corporation 	CCC
Corporation de développement des investissements du Canada 	CDEV	Canada Development Investment Corporation 	CDEV
Cour canadienne de l'impôt 	CCI	Tax Court of Canada 	TCC
Cour d'appel de la cour martiale du Canada 	CACM	Court Martial Appeal Court of Canada 	CMAC
Cour d'appel fédérale 	CAF	Federal Court of Appeal 	FCA
Cour fédérale 	CF	Federal Court of Canada 	FC
Cour suprême du Canada 	CSC	Supreme Court of Canada 	SCC
Défense nationale 	MDN	National Defence 	DND
Destination Canada 	DC	Destination Canada 	DC
