en_name	en_url	en_abbr	fr_name	fr_url	fr_abbr
Canadian Air Transport Security Authority	http://www.catsa.gc.ca/	CATSA	Administration canadienne de la sûreté du transport aérien	https://www.catsa-acsta.gc.ca/fr	ACSTA
Atlantic Pilotage Authority Canada	http://www.atlanticpilotage.com/eng/index.html	APA	Administration de pilotage de l'Atlantique Canada	https://www.atlanticpilotage.com/fra/index.html	APA
Great Lakes Pilotage Authority Canada	http://www.glpa-apgl.com/en/	GLPA	Administration de pilotage des Grands Lacs Canada	http://www.glpa-apgl.com/fr	APGL
Laurentian Pilotage Authority Canada	http://www.pilotagestlaurent.gc.ca/en/index.html	LPA	Administration de pilotage des Laurentides Canada	http://www.pilotagestlaurent.gc.ca/fr/index.html	APL
Pacific Pilotage Authority Canada	https://ppa.gc.ca/	PPA	Administration de pilotage du Pacifique Canada	https://ppa.gc.ca/fr	APP
Northern Pipeline Agency Canada	https://www.canada.ca/en/northern-pipeline-agency.html	NPA	Administration du pipe-line du Nord Canada	https://www.canada.ca/fr/administration-pipe-line-nord.html	APN
Indigenous and Northern Affairs Canada	https://www.canada.ca/en/indigenous-northern-affairs.html	INAC	Affaires autochtones et du Nord Canada	https://www.canada.ca/fr/affaires-autochtones-nord.html	AANC
Intergovernmental Affairs	https://www.canada.ca/en/intergovernmental-affairs.html	IGA	Affaires intergouvernementales	https://www.canada.ca/fr/affaires-intergouvernementales.html	AIG
Global Affairs Canada	http://www.international.gc.ca/gac-amc/index.aspx?lang=eng	GAC	Affaires mondiales Canada	http://www.international.gc.ca/gac-amc/index.aspx?lang=fra	AMC
Canadian Environmental Assessment Agency	https://www.canada.ca/en/environmental-assessment-agency.html	CEAA	Agence canadienne d'évaluation environnementale	https://www.canada.ca/fr/agence-evaluation-environnementale.html	ACEE
Canadian Food Inspection Agency	https://www.canada.ca/en/food-inspection-agency.html	CFIA	Agence canadienne d'inspection des aliments	https://www.canada.ca/fr/agence-inspection-aliments.html	ACIA
Canadian Northern Economic Development Agency	http://www.cannor.gc.ca/eng/1351104567432/1351104589057	CanNor	Agence canadienne de développement économique du Nord	http://www.cannor.gc.ca/fra/1351104567432/1351104589057	CanNor
Canadian Pari-Mutuel Agency	http://www.agr.gc.ca/eng/about-us/partners-and-agencies/canadian-pari-mutuel-agency/?id=1204043533186	CPMA	Agence canadienne du pari mutuel	http://www.agr.gc.ca/fra/a-propos-de-nous/partenaires-et-agences/agence-canadienne-du-pari-mutuel/?id=1204043533186	ACPM
Financial Consumer Agency of Canada	https://www.canada.ca/en/financial-consumer-agency.html	FCAC	Agence de la consommation en matière financière du Canada	https://www.canada.ca/fr/agence-consommation-matiere-financiere.html	ACFC
Public Health Agency of Canada	https://www.canada.ca/en/public-health.html	PHAC	Agence de la santé publique du Canada	https://www.canada.ca/fr/sante-publique.html	ASPC
Atlantic Canada Opportunities Agency	https://www.canada.ca/en/atlantic-canada-opportunities.html	ACOA	Agence de promotion économique du Canada atlantique	https://www.canada.ca/fr/promotion-economique-canada-atlantique.html	APECA
Canada Border Services Agency	http://www.cbsa-asfc.gc.ca/menu-eng.html	CBSA	Agence des services frontaliers du Canada	http://www.cbsa-asfc.gc.ca/menu-fra.html	ASFC
Canada Revenue Agency	https://www.canada.ca/en/revenue-agency.html	CRA	Agence du revenu du Canada	https://www.canada.ca/fr/agence-revenu.html	ARC
Federal Economic Development Agency for Southern Ontario	https://www.canada.ca/en/economic-development-southern-ontario.html	FedDev Ontario	Agence fédérale de développement économique pour le Sud de l'Ontario	https://www.canada.ca/fr/developpement-economique-sud-ontario.html	FedDev Ontario
Canadian Space Agency	https://www.canada.ca/en/space-agency.html	CSA	Agence spatiale canadienne	https://www.canada.ca/fr/agence-spatiale.html	ASC
Agriculture and Agri-Food Canada	http://www.agr.gc.ca/eng/home/?id=1395690825741	AAFC	Agriculture et Agroalimentaire Canada	http://www.agr.gc.ca/fra/accueil/?id=1395690825741	AAC
Veterans Affairs Canada	https://www.canada.ca/en/veterans-affairs-canada.html	VAC	Anciens Combattants Canada	https://www.canada.ca/fr/anciens-combattants-canada.html	ACC
Canadian Army	http://www.army-armee.forces.gc.ca/en/index.page	CA	Armée canadienne	http://www.army-armee.forces.gc.ca/fr/index.page	AC
Windsor-Detroit Bridge Authority	https://www.wdbridge.com/	WDBA	Autorité du pont Windsor-Détroit	https://www.wdbridge.com/fr	APWD
Royal Canadian Air Force	http://www.rcaf-arc.forces.gc.ca/en/index.page	RCAF	Aviation royale canadienne	http://www.rcaf-arc.forces.gc.ca/fr/index.page	ARC
Business Development Bank of Canada	http://www.bdc.ca/EN/Pages/home.aspx	BDC	Banque de développement du Canada	http://www.bdc.ca/FR/Pages/accueil.aspx	BDC
Canada Infrastructure Bank	https://cib-bic.ca/en/about-us/	CIB	Banque de L’infrastructure du Canada	https://cib-bic.ca/fr/a-propos/	BIC
Bank of Canada	http://www.bankofcanada.ca/		Banque du Canada	http://www.banqueducanada.ca/	
Library and Archives Canada	https://www.canada.ca/en/library-archives.html	LAC	Bibliothèque et Archives Canada	https://www.canada.ca/fr/bibliotheque-archives.html	BAC
Procurement Ombudsman (Office of the)	https://www.canada.ca/en/procurement-ombudsman.html	OPO	Bureau de l'ombudsman de l'approvisionnement	https://www.canada.ca/fr/ombudsman-approvisionnement.html	BOA
Ombudsman for the Department of National Defence and the Canadian Forces (Office of the)	http://www.ombudsman.forces.gc.ca/en/		Bureau de l'ombudsman de la Défense nationale et des Forces canadiennes	http://www.ombudsman.forces.gc.ca/fr/index.page	
Taxpayers' Ombudsman (Office of the)	https://www.canada.ca/en/taxpayers-ombudsman.html	OTO	Bureau de l'ombudsman des contribuables	https://www.canada.ca/fr/ombudsman-contribuables.html	BOC
Federal Ombudsman for Victims Of Crime (Office of the)	http://www.victimsfirst.gc.ca/index.html	OFOVC	Bureau de l'ombudsman fédéral des victimes d'actes criminels	http://www.victimesdabord.gc.ca/index.html	BOFVAC
Competition Bureau Canada	http://www.competitionbureau.gc.ca/eic/site/cb-bc.nsf/eng/home	COBU	Bureau de la concurrence Canada	http://www.bureaudelaconcurrence.gc.ca/eic/site/cb-bc.nsf/fra/accueil	BUCO
Transportation Safety Board of Canada	https://www.canada.ca/en/transportation-safety-board.html	TSB	Bureau de la sécurité des transports du Canada	https://www.canada.ca/fr/bureau-securite-transports.html	BST
Translation Bureau	http://www.tpsgc-pwgsc.gc.ca/bt-tb/index-eng.html		Bureau de la traduction	http://www.tpsgc-pwgsc.gc.ca/bt-tb/index-fra.html	
Communications Security Establishment Commissioner (Office of the)	https://www.canada.ca/en/office-communications-security-establishment-commissioner.html	OCSEC	Bureau du commissaire du Centre de la sécurité des télécommunications	https://www.canada.ca/fr/bureau-commissaire-centre-securite-telecommunications.html	BCCST
Privy Council Office	https://www.canada.ca/en/privy-council.html	PCO	Bureau du Conseil privé	https://www.canada.ca/fr/conseil-prive.html	BCP
Superintendent of Bankruptcy Canada (Office of the)	http://www.ic.gc.ca/eic/site/bsf-osb.nsf/eng/home	OSB	Bureau du surintendant des faillites Canada	http://www.ic.gc.ca/eic/site/bsf-osb.nsf/fra/accueil	BSF
Superintendent of Financial Institutions Canada (Office of the)	http://www.tbs-sct.gc.ca/aedb-bdve/org-eng.aspx?Org=67	OSFI	Bureau du surintendant des institutions financières Canada	http://www.tbs-sct.gc.ca/aedb-bdve/org-fra.aspx?Org=67	BSIF
Auditor General of Canada (Office of the)	http://www.oag-bvg.gc.ca/internet/English/admin_e_41.html	OAG	Bureau du vérificateur général du Canada	http://www.oag-bvg.gc.ca/internet/Francais/admin_f_41.html	BVG
Canadian Centre for Occupational Health and Safety	http://www.ccohs.ca/	CCOHS	Centre canadien d'hygiène et de sécurité au travail	http://www.cchst.ca/	CCHST
Financial Transactions and Reports Analysis Centre of Canada	https://www.canada.ca/en/financial-transactions-reports-analysis.html	FINTRAC	Centre d'analyse des opérations et déclarations financières du Canada	https://www.canada.ca/fr/analyse-operations-declarations-financieres.html	CANAFE
Communications Security Establishment Canada	https://www.canada.ca/en/communications-security.html	CSEC	Centre de la sécurité des télécommunications Canada	https://www.canada.ca/fr/securite-telecommunications.html	CSTC
International Development Research Centre	https://www.idrc.ca/en	IDRC	Centre de recherches pour le développement international	https://www.idrc.ca/fr	CRDI
