dept_name	dept_url	dept_abbr
Administrative Tribunals Support Service of Canada	https://www.canada.ca/en/administrative-tribunals-support-service.html	ATSSC
Agriculture and Agri-Food Canada	http://www.agr.gc.ca/eng/home/?id=1395690825741	AAFC
Atlantic Canada Opportunities Agency	https://www.canada.ca/en/atlantic-canada-opportunities.html	ACOA
Atlantic Pilotage Authority Canada	http://www.atlanticpilotage.com/eng/index.html	APA
Atomic Energy of Canada Limited	http://www.aecl.ca/en/home/default.aspx	AECL
Auditor General of Canada (Office of the)	http://www.oag-bvg.gc.ca/internet/English/admin_e_41.html	OAG
Bank of Canada	http://www.bankofcanada.ca/	
Blue Water Bridge Canada	http://www.bluewaterbridge.ca/home	BWB
Business Development Bank of Canada	http://www.bdc.ca/EN/Pages/home.aspx	BDC
Canada Agricultural Review Tribunal	http://cart-crac.gc.ca/index-en.html	CART
Canada Agriculture and Food Museum	http://cafmuseum.techno-science.ca/en/index.php	
Canada Aviation and Space Museum	http://casmuseum.techno-science.ca/en/index.php	
Canada Border Services Agency	http://www.cbsa-asfc.gc.ca/menu-eng.html	CBSA
Canada Council for the Arts	http://canadacouncil.ca/en	
Canada Deposit Insurance Corporation	http://www.cdic.ca/Pages/default.aspx	CDIC
Canada Development Investment Corporation	http://www.cdiccei.ca/en/	CDEV
Canada Economic Development for Quebec Regions	https://www.canada.ca/en/economic-development-quebec-regions.html	CED
Canada Employment Insurance Commission	https://www.canada.ca/en/employment-social-development/corporate/portfolio/ei-commission.html	CEIC
Canada Firearms Centre	http://www.rcmp-grc.gc.ca/cfp-pcaf/index-eng.htm	CAFC
Canada Industrial Relations Board	http://www.cirb-ccri.gc.ca/eic/site/047.nsf/eng/home	CIRB
Canada Infrastructure Bank	https://cib-bic.ca/en/about-us/	CIB
Canada Lands Company Limited	http://www.clc.ca/home	CLC
Canada Mortgage and Housing Corporation	https://www.cmhc-schl.gc.ca/en	CMHC
Canada Pension Plan Investment Board	http://www.cppib.com/en/	CPPIB
Canada Post	https://www.canadapost.ca/web/en/home.page	CPC
Canada Research Chairs	http://www.chairs-chaires.gc.ca/home-accueil-eng.aspx	
Canada Revenue Agency	https://www.canada.ca/en/revenue-agency.html	CRA
Canada School of Public Service	https://www.csps-efpc.gc.ca/index-eng.aspx	CSPS
Canadian Accessibility Standards Development Organization	https://www.canada.ca/en/canadian-accessibility-standards-development-organization.html	CASDO
Canadian Air Transport Security Authority	http://www.catsa.gc.ca/	CATSA
Canadian Army	http://www.army-armee.forces.gc.ca/en/index.page	CA
Canadian Centre for Occupational Health and Safety	http://www.ccohs.ca/	CCOHS
Canadian Coast Guard	http://www.ccg-gcc.gc.ca/eng/CCG/Home	CCG
Canadian Commercial Corporation	http://www.ccc.ca/en	CCC
Canadian Conservation Institute	https://www.canada.ca/en/conservation-institute.html	CCI
Canadian Cultural Property Export Review Board	https://www.canada.ca/en/services/culture/history-heritage/movable-cultural-property/export-review-board.html	
Canadian Dairy Commission	http://www.cdc-ccl.gc.ca/CDC/index-eng.php	CDC
Canadian Environmental Assessment Agency	https://www.canada.ca/en/environmental-assessment-agency.html	CEAA
Canadian Food Inspection Agency	https://www.canada.ca/en/food-inspection-agency.html	CFIA
Canadian Grain Commission	https://www.grainscanada.gc.ca/en/	CGC
Canadian Heritage	https://www.canada.ca/en/canadian-heritage.html	PCH
Canadian Heritage Information Network	https://www.canada.ca/en/heritage-information-network.html	CHIN
Canadian Human Rights Commission	https://www.canada.ca/en/human-rights-commission.html	CHRC
Canadian Institutes of Health Research	https://www.canada.ca/en/institutes-health-research.html	CIHR
Canadian Intellectual Property Office	https://www.canada.ca/en/intellectual-property-office.html	CIPO
Canadian Intergovernmental Conference Secretariat	http://www.scics.ca/en/	CICS
Canadian International Trade Tribunal	http://www.citt.gc.ca/	CITT
Canadian Judicial Council	http://www.cjc-ccm.gc.ca/english/index_en.asp	CJC
Canadian Museum for Human Rights	https://humanrights.ca/	CMHR
Canadian Museum of History	http://www.historymuseum.ca/	CMH
Canadian Museum of Immigration at Pier 21	http://www.pier21.ca/home	CMIP
Canadian Museum of Nature	http://nature.ca/en/home	CMN
Canadian Northern Economic Development Agency	http://www.cannor.gc.ca/eng/1351104567432/1351104589057	CanNor
Canadian Nuclear Safety Commission	http://www.nuclearsafety.gc.ca/eng/	CNSC
Canadian Pari-Mutuel Agency	http://www.agr.gc.ca/eng/about-us/partners-and-agencies/canadian-pari-mutuel-agency/?id=1204043533186	CPMA
Canadian Police College	http://www.cpc-ccp.gc.ca/en/node/317	CPC
Canadian Race Relations Foundation	http://www.crrf-fcrr.ca/en/	CRRF
Canadian Radio-Television and Telecommunications Commission	http://www.crtc.gc.ca/eng/home-accueil.htm	CRTC
Canadian Security Intelligence Service	https://www.canada.ca/en/security-intelligence-service.html	CSIS
Canadian Space Agency	https://www.canada.ca/en/space-agency.html	CSA
Canadian Special Operations Forces Command	https://www.canada.ca/en/special-operations-forces-command.html	CANSOFCOM
Destination Canada	https://www.destinationcanada.com/en	DC
Canadian Trade Commissioner Service	http://tradecommissioner.gc.ca/index.aspx?lang=eng	TCS
Canadian Transportation Agency	https://www.canada.ca/en/transportation-agency.html	CTA
Canadian War Museum	http://www.warmuseum.ca/	
CBC/Radio-Canada	http://www.cbc.radio-canada.ca/en/	CBC
Civilian Review and Complaints Commission for the RCMP	https://www.canada.ca/en/civilian-review-complaints-rcmp.html	CRCC
Commissioner for Federal Judicial Affairs Canada (Office of the)	http://www.fja.gc.ca/home-accueil/index-eng.html	FJA
Commissioner of Lobbying of Canada (Office of the)	https://lobbycanada.gc.ca/eic/site/012.nsf/eng/h_00000.html	OCL
Commissioner of Official Languages (Office of the)	http://www.ocol-clo.gc.ca/html/index_e.php	OCOL
Communications Research Centre Canada	http://www.crc.gc.ca/eic/site/069.nsf/Intro	CRC
Communications Security Establishment Canada	https://www.canada.ca/en/communications-security.html	CSEC
Communications Security Establishment Commissioner (Office of the)	https://www.canada.ca/en/office-communications-security-establishment-commissioner.html	OCSEC
Competition Bureau Canada	http://www.competitionbureau.gc.ca/eic/site/cb-bc.nsf/eng/home	COBU
Competition Tribunal	http://www.ct-tc.gc.ca/Home.asp	
Conflict of Interest and Ethics Commissioner (Office of the)	http://ciec-ccie.parl.gc.ca/EN/Pages/default.aspx	CIEC
Copyright Board Canada	http://www.cb-cda.gc.ca/home-accueil-e.html	CB
CORCAN	http://www.csc-scc.gc.ca/corcan/index-eng.shtml	
Correctional Investigator Canada	http://www.oci-bec.gc.ca/index-eng.aspx	OCI
